"","entry_id","time","uv","lux","temperature","pressure","humidity","pm1","pm2_5","pm10","speed","rain","direction","device"
"12","12","2024-06-20 17:25:37.420889","0.12","3617.84","14.62","598","56","1","2","3","0","0",NA,"Ashotsk"
"13","13","2024-06-20 17:40:37.511757","0.13","2906.13","13.62","598","69","1","2","3","0","0",NA,"Ashotsk"
"14","14","2024-06-20 17:55:37.607069","0.36","4544.75","13.37","598","57","0","0","0","0","0",NA,"Ashotsk"
"15","15","2024-06-20 18:10:37.661602","0.38","5426.5","14.11","598","58","0","1","1","0","0",NA,"Ashotsk"
"16","16","2024-06-20 18:25:37.706556","0.25","3694.02","14.84","598","54","1","4","4","0","0",NA,"Ashotsk"
"17","17","2024-06-20 18:40:37.806084","0.54","7691.26","14.83","598","53","1","2","2","0","0",NA,"Ashotsk"
"18","18","2024-06-20 19:38:31.715755","0.25","2643.05","15.67","598","46","1","1","1","4.13","0","NE","Ashotsk"
"19","19","2024-06-20 19:53:31.746600","0.33","3101.66","15.27","598","49","0","2","2","5.57","0","N","Ashotsk"
"20","20","2024-06-20 20:08:31.875072","0.29","2276.89","14.62","598","51","0","0","1","0.65","0",NA,"Ashotsk"
"21","21","2024-06-20 20:23:32.000048","0.21","1714.56","14.18","597","56","0","2","2","0","0",NA,"Ashotsk"
"22","22","2024-06-20 20:38:32.084767","0.08","687.61","14.16","597","56","0","1","2","0","0",NA,"Ashotsk"
"23","23","2024-06-20 20:53:32.163230","0","172.93","13.06","597","60","0","0","1","0","0",NA,"Ashotsk"
"24","24","2024-06-20 21:08:32.203223","0","18.89","12.51","597","63","0","1","1","0","0",NA,"Ashotsk"
"25","25","2024-06-20 21:23:32.329240","0","4.76","12.51","597","64","0","4","4","0","0",NA,"Ashotsk"
"26","26","2024-06-20 21:38:32.379516","0","3.97","12.04","597","65","1","1","1","0","0",NA,"Ashotsk"
"27","27","2024-06-20 21:53:32.489376","0","3.97","11.54","597","64","0","0","2","0","0",NA,"Ashotsk"
"28","28","2024-06-20 22:08:32.622328","0","3.97","11.02","598","67","0","0","2","0","0",NA,"Ashotsk"
"29","29","2024-06-20 22:23:32.746829","0","4.76","9.92","598","72","0","2","2","0","0",NA,"Ashotsk"
"30","30","2024-06-20 22:38:32.794234","0","4.76","9.61","598","73","1","2","3","0","0",NA,"Ashotsk"
"31","31","2024-06-20 22:53:32.833245","0","5.55","9.9","597","71","1","3","4","0","0",NA,"Ashotsk"
"32","32","2024-06-20 23:08:32.890089","0","5.55","9.41","598","76","0","2","3","0","0",NA,"Ashotsk"
"33","33","2024-06-20 23:23:32.971758","0","4.76","10.39","597","70","0","1","1","0","0",NA,"Ashotsk"
"34","34","2024-06-20 23:38:33.098963","0","3.97","10.81","598","70","0","3","3","0","0",NA,"Ashotsk"
"35","35","2024-06-20 23:53:33.153266","0","3.97","11.2","598","67","1","2","3","0","0",NA,"Ashotsk"
"36","36","2024-06-21 00:08:33.217993","0","3.97","12.18","598","60","1","3","4","0","0",NA,"Ashotsk"
"37","37","2024-06-21 00:23:33.340508","0","3.97","12.2","598","59","1","2","3","0","0",NA,"Ashotsk"
"38","38","2024-06-21 00:38:33.470722","0","3.97","11.94","597","58","0","1","2","0","0",NA,"Ashotsk"
"39","39","2024-06-21 00:53:33.601196","0","3.97","10.34","597","66","1","3","4","0","0",NA,"Ashotsk"
"40","40","2024-06-21 01:08:33.723243","0","3.97","9.8","597","68","0","4","4","0","0",NA,"Ashotsk"
"41","41","2024-06-21 01:23:33.848243","0","3.97","9.07","597","73","2","4","6","0","0",NA,"Ashotsk"
"42","42","2024-06-21 01:38:33.968132","0","3.97","11.19","597","67","1","5","5","0","0",NA,"Ashotsk"
"43","43","2024-06-21 01:53:34.012953","0","3.97","11.09","597","69","2","6","7","0","0",NA,"Ashotsk"
"44","44","2024-06-21 02:08:34.143396","0","3.97","10.94","598","68","2","5","6","0","0",NA,"Ashotsk"
"45","45","2024-06-21 02:23:34.199200","0","3.97","11.85","598","72","4","10","10","0","0",NA,"Ashotsk"
"46","46","2024-06-21 02:38:34.292632","0","3.97","11.85","598","74","7","12","19","0","0",NA,"Ashotsk"
"47","47","2024-06-21 02:53:34.418366","0","4.76","11.18","597","74","5","9","11","0","0",NA,"Ashotsk"
"48","48","2024-06-21 03:08:34.573980","0","3.97","10.62","597","78","5","11","15","0","0",NA,"Ashotsk"
"49","49","2024-06-21 03:23:34.667376","0","5.55","10.25","597","83","5","11","19","0","0",NA,"Ashotsk"
"50","50","2024-06-21 06:30:56.433443","1.09","9898.77","11.94","597","60","0","0","0","0","0",NA,"Ashotsk"
"51","51","2024-06-21 06:45:56.531780","1.19","10027","12.25","597","61","0","0","0","0","0",NA,"Ashotsk"
"52","52","2024-06-21 07:00:56.583320","0.96","10474.94","11.98","597","64","0","0","0","0","0",NA,"Ashotsk"
"53","53","2024-06-21 07:15:56.635660","1.35","14919.54","12.05","597","64","0","0","0","0","0",NA,"Ashotsk"
"54","54","2024-06-21 07:30:56.673284","1.59","15512.74","12.35","597","62","0","0","0","0","0",NA,"Ashotsk"
"55","55","2024-06-21 07:45:56.683304","2.16","24597.17","12.84","597","64","0","0","0","0","0",NA,"Ashotsk"
"56","56","2024-06-21 08:00:56.703279","9.07","51974.31","15.45","597","54","0","0","0","0","0",NA,"Ashotsk"
"57","57","2024-06-21 08:15:56.804505","8.72","51974.31","17.52","597","48","0","0","0","0","0",NA,"Ashotsk"
"58","58","2024-06-21 08:30:56.851458","6.3","51974.31","19.2","597","37","0","0","0","0","0",NA,"Ashotsk"
"59","59","2024-06-21 08:45:56.952849","6.05","51974.31","17.46","597","42","0","0","0","0","0",NA,"Ashotsk"
"60","60","2024-06-21 09:00:57.003241","5.25","51974.31","18.5","597","42","0","0","0","0","0",NA,"Ashotsk"
"61","61","2024-06-21 09:15:57.103313","5.58","51974.31","18.35","597","43","0","0","0","0","0",NA,"Ashotsk"
"62","62","2024-06-21 09:30:57.152812","3.15","46301.91","17.96","597","44","0","0","0","0","0",NA,"Ashotsk"
"63","63","2024-06-21 09:45:57.174267","5.8","51974.31","19.27","597","39","0","0","0","0","0",NA,"Ashotsk"
"64","64","2024-06-21 10:00:57.193259","5.54","51974.31","19.4","597","41","0","0","0","0","0",NA,"Ashotsk"
"65","65","2024-06-21 10:15:57.295374","4.83","51974.31","21.7","597","37","0","0","0","0","0",NA,"Ashotsk"
"66","66","2024-06-21 10:30:57.391862","6.35","51974.31","20.69","597","39","0","0","0","0","0",NA,"Ashotsk"
"67","67","2024-06-21 10:45:57.397091","5.46","51974.31","19.1","597","46","0","0","1","0","0",NA,"Ashotsk"
"68","68","2024-06-21 11:00:57.498792","5.41","51974.31","19.87","597","44","0","0","1","0","0",NA,"Ashotsk"
"69","69","2024-06-21 11:15:57.603009","5.08","51974.31","19.9","597","44","0","1","1","0","0",NA,"Ashotsk"
"70","70","2024-06-21 11:30:57.615999","4.89","51974.31","19.67","597","44","0","1","1","0","0",NA,"Ashotsk"
"71","71","2024-06-21 11:45:57.637282","4.98","51974.31","20.26","597","44","0","0","1","0","0",NA,"Ashotsk"
"72","72","2024-06-21 12:00:57.738735","4.75","51974.31","19.34","597","43","0","0","0","0","0",NA,"Ashotsk"
"73","73","2024-06-21 12:42:10.795060","4.41","51974.31","19.7","597","44","0","0","0","6.63","0","W","Ashotsk"
"74","74","2024-06-21 12:57:10.805130","4.23","51974.31","20.14","597","42","0","0","1","7.01","0","NW","Ashotsk"
"75","75","2024-06-21 13:12:10.897108","4.34","51974.31","20.25","597","42","0","1","1","7.36","0","W","Ashotsk"
"76","76","2024-06-21 13:27:10.985105","4.72","51974.31","20.86","597","39","0","0","1","7.19","0","S","Ashotsk"
"77","77","2024-06-21 13:42:10.995127","4.78","51974.31","21.52","597","38","0","1","1","5.69","0","SW","Ashotsk"
"78","78","2024-06-21 13:57:11.089534","2.76","51974.31","21.19","597","38","0","0","1","5.89","0","NE","Ashotsk"
"79","79","2024-06-21 14:12:11.182162","3.42","51974.31","20.1","597","41","1","1","2","5.53","0","NW","Ashotsk"
"80","80","2024-06-21 14:27:11.225133","2.53","51032.84","20","597","41","1","2","2","5.34","0","NW","Ashotsk"
"81","81","2024-06-21 14:42:11.267583","4.62","51974.31","21.06","597","39","0","0","1","6.03","0","W","Ashotsk"
"82","82","2024-06-21 14:57:11.305189","4.84","51812.53","20.98","597","37","0","0","0","6.64","0","W","Ashotsk"
"83","83","2024-06-21 15:12:11.404916","4.73","51974.31","21.25","597","39","0","1","1","6.69","0","W","Ashotsk"
"84","84","2024-06-21 15:27:11.487840","5.14","51974.31","21.74","597","38","0","1","2","6.47","0","SE","Ashotsk"
"85","85","2024-06-21 15:42:11.555145","4.95","51974.31","20.31","597","39","0","1","2","6.92","0","NW","Ashotsk"
"86","86","2024-06-21 15:57:11.595159","3.3","48447.81","19.83","597","39","0","2","2","6.6","0","SW","Ashotsk"
"87","87","2024-06-21 16:12:11.601292","2.32","32491.94","19.57","597","41","0","2","2","6","0","NW","Ashotsk"
"88","88","2024-06-21 16:27:11.683245","4.15","51974.31","20.65","597","38","1","2","2","5.32","0","W","Ashotsk"
"89","89","2024-06-21 16:42:16.853457","3.22","44654.57","20.86","597","37","0","1","1","6.7","0","SW","Ashotsk"
"90","90","2024-06-21 16:57:16.950702","2.66","35609.88","19.04","597","44","0","3","3","5.54","0","W","Ashotsk"
"91","91","2024-06-21 17:12:17.047873","2.03","28588.4","17.85","597","48","1","4","5","7.01","0","W","Ashotsk"
"92","92","2024-06-21 17:27:17.055180","1.54","20113.39","17.39","597","48","2","4","4","7.09","0","SE","Ashotsk"
"93","93","2024-06-21 17:42:17.065689","2.27","29517.63","17.66","597","48","0","3","4","7.13","0","E","Ashotsk"
"94","94","2024-06-21 17:57:17.126418","3.64","40954.62","18.65","597","47","2","5","6","7.12","0","NW","Ashotsk"
"95","95","2024-06-21 18:12:17.133453","1.01","12715.84","16.96","597","50","2","4","7","6.37","0","SW","Ashotsk"
"96","96","2024-06-21 18:27:17.192035","1.05","13781.47","16.28","597","52","1","5","7","6.63","0","N","Ashotsk"
"97","97","2024-06-21 18:42:17.255027","1.1","14325.51","16.28","597","52","3","6","9","6.65","0","W","Ashotsk"
"98","98","2024-06-21 18:57:17.557756","1.27","13667.44","16.6","597","52","13","24","27","6.96","0","NW","Ashotsk"
"99","99","2024-06-21 19:12:17.616115","0.67","7604.34","16.19","597","53","8","20","24","7.24","0","W","Ashotsk"
"100","100","2024-06-21 19:27:17.711571","0.6","6656.17","15.59","597","54","4","7","9","6.28","0","SW","Ashotsk"
"101","101","2024-06-21 19:42:17.795162","0.14","11811.38","16.25","597","52","3","6","7","5.82","0","W","Ashotsk"
"102","102","2024-06-21 19:57:17.802348","0","7128.2","16.11","597","51","1","3","4","5.11","0","NW","Ashotsk"
"103","103","2024-06-21 20:12:17.820050","0","3547.09","14.81","597","55","1","4","5","5.25","0","W","Ashotsk"
"104","104","2024-06-21 20:27:17.825154","0.02","1544.11","14.11","597","57","1","5","5","3.54","0","W","Ashotsk"
"105","105","2024-06-21 20:42:17.846710","0.03","588.52","13.46","597","59","1","3","4","3.3","0","SW","Ashotsk"
"106","106","2024-06-21 20:57:17.943550","0","111.2","13.17","597","60","0","4","5","4.54","0","NW","Ashotsk"
"107","107","2024-06-21 21:12:18.040970","0","12.79","12.95","597","62","1","4","4","7.27","0","W","Ashotsk"
"108","108","2024-06-21 21:27:18.065124","0","3.97","12.22","597","64","3","7","10","7.5","0","SW","Ashotsk"
"109","109","2024-06-21 21:42:18.137687","0","3.97","12.48","597","61","5","16","19","7.61","0","W","Ashotsk"
"110","110","2024-06-21 21:57:18.234133","0","3.97","12.3","597","61","1","4","4","2.46","0","S","Ashotsk"
"111","111","2024-06-21 22:12:18.327371","0","3.97","12.5","597","63","1","4","5","4.85","0","W","Ashotsk"
"112","112","2024-06-21 22:27:18.422036","0","3.97","12.13","597","63","0","4","6","5.53","0","W","Ashotsk"
"113","113","2024-06-21 22:42:18.495563","0","3.97","12.4","597","63","0","3","4","6.09","0","W","Ashotsk"
"114","114","2024-06-21 22:57:18.588312","0","3.97","12.62","596","63","0","3","4","6.65","0","W","Ashotsk"
"115","115","2024-06-21 23:12:18.681117","0","3.97","12.27","596","64","2","5","6","8.46","0","SW","Ashotsk"
"116","116","2024-06-21 23:27:18.774118","0","3.97","12.43","597","63","2","4","4","4.29","0","W","Ashotsk"
"117","117","2024-06-21 23:42:18.845229","0","3.97","12.29","597","65","0","5","5","6.7","0","W","Ashotsk"
"118","118","2024-06-21 23:57:18.858123","0","3.97","12.27","597","64","2","4","5","7.05","0","S","Ashotsk"
"119","119","2024-06-22 00:12:18.930779","0","3.97","12","597","65","1","5","6","6.37","0","NE","Ashotsk"
"120","120","2024-06-22 00:27:19.023309","0","3.97","11.7","597","65","1","4","5","4.81","0","W","Ashotsk"
"121","121","2024-06-22 00:42:19.025195","0","3.97","11.52","597","64","1","3","4","4.46","0","NE","Ashotsk"
"122","122","2024-06-22 00:57:19.117707","0","3.97","11.52","597","66","0","6","7","5.48","0","SW","Ashotsk"
"123","123","2024-06-22 01:12:19.210607","0","3.97","11.14","597","68","1","6","7","5.02","0","W","Ashotsk"
"124","124","2024-06-22 01:27:19.303322","0","3.97","10.9","597","69","2","5","5","4.13","0","E","Ashotsk"
"125","125","2024-06-22 01:42:19.305168","0","3.97","10.61","596","71","2","7","8","3.31","0","SW","Ashotsk"
"126","126","2024-06-22 01:57:19.343522","0","3.97","10.55","597","71","3","7","8","3.1","0","W","Ashotsk"
"127","127","2024-06-22 02:12:19.439977","0","3.97","10.66","596","71","2","7","8","5.71","0","SW","Ashotsk"
"128","128","2024-06-22 02:27:19.532612","0","3.97","10.08","596","72","3","8","9","2.22","0","E","Ashotsk"
"129","129","2024-06-22 02:42:19.629763","0","3.97","10.05","596","71","2","8","8","2.86","0","SE","Ashotsk"
"130","130","2024-06-22 02:57:19.718876","0","5.55","9.15","596","76","3","8","9","2.37","0","SW","Ashotsk"
"131","131","2024-06-22 03:12:19.717730","0","5.55","10.09","596","70","3","5","8","3.53","0","NW","Ashotsk"
"132","132","2024-06-22 03:27:19.815128","0","4.76","10.11","596","71","3","7","9","4","0","SW","Ashotsk"
"133","133","2024-06-22 03:42:19.911186","0","4.76","9.68","596","72","3","7","8","2.96","0","NE","Ashotsk"
"134","134","2024-06-22 03:57:19.955260","0","4.76","10.45","596","66","3","6","7","3.62","0","NW","Ashotsk"
"135","135","2024-06-22 04:12:20.054644","0","3.97","10.13","596","68","1","5","7","4.69","0","NW","Ashotsk"
"136","136","2024-06-22 04:27:20.085089","0","3.97","9.97","596","68","2","5","5","4.5","0","NW","Ashotsk"
"137","137","2024-06-22 04:42:20.084481","0","3.97","9.28","596","71","2","7","7","3.49","0","E","Ashotsk"
"138","138","2024-06-22 04:57:20.183112","0","5.66","9.13","596","74","3","8","9","3.01","0","NW","Ashotsk"
"139","139","2024-06-22 05:12:20.280611","0","19.46","9.08","596","74","3","7","9","3.91","0","NE","Ashotsk"
"140","140","2024-06-22 05:27:20.378335","0.02","184.89","8.48","596","77","2","8","9","3.21","0","E","Ashotsk"
"141","141","2024-06-22 05:42:20.509387","0.03","852.57","8.31","596","77","2","9","13","2.99","0","S","Ashotsk"
"142","142","2024-06-22 05:57:20.596448","0.08","1917.9","8.69","596","76","3","7","9","4.14","0","SW","Ashotsk"
"143","143","2024-06-22 06:12:20.695131","0.13","3040.68","8.81","596","76","3","7","8","2.79","0","E","Ashotsk"
"144","144","2024-06-22 06:27:20.805201","0.24","4432.49","9.14","596","72","3","6","8","3.22","0","N","Ashotsk"
"145","145","2024-06-22 06:42:20.932785","0.34","5791.83","10.11","596","66","2","7","8","5.21","0","SW","Ashotsk"
"146","146","2024-06-22 06:57:21.063711","1.04","11395.54","11.08","596","61","2","5","5","3.1","0","NW","Ashotsk"
"147","147","2024-06-22 07:12:21.186265","9.3","29210.73","14.38","596","49","0","3","3","3.67","0","NE","Ashotsk"
"148","148","2024-06-22 07:27:21.305145","0.47","16561.45","13.3","596","49","0","2","3","4.97","0","NW","Ashotsk"
"149","149","2024-06-22 07:42:21.390341","6.71","44261.05","15.2","596","44","0","3","3","6.12","0","N","Ashotsk"
"150","150","2024-06-22 07:57:21.514680","8.35","51974.31","15.67","596","42","1","5","6","6.43","0","W","Ashotsk"
"151","151","2024-06-22 08:12:21.644673","7.59","51974.31","15.37","596","45","1","4","4","6.15","0","SW","Ashotsk"
"152","152","2024-06-22 08:27:21.715149","6.77","51974.31","16.02","596","43","2","5","5","6.39","0","W","Ashotsk"
"153","153","2024-06-22 08:42:21.765117","7.2","51974.31","16.9","596","40","2","4","5","6.49","0","E","Ashotsk"
"154","154","2024-06-22 08:57:21.805202","2.64","30951.35","15.56","596","45","1","4","5","4.72","0","SW","Ashotsk"
"155","155","2024-06-22 09:12:21.930550","6.95","51974.31","16.91","596","40","2","4","5","6.33","0","W","Ashotsk"
"156","156","2024-06-22 09:27:22.003739","6.43","51974.31","19.1","596","35","1","4","4","4.62","0","S","Ashotsk"
"157","157","2024-06-22 09:42:22.045192","6.16","51974.31","19.46","596","35","1","3","4","4.6","0","NE","Ashotsk"
"158","158","2024-06-22 09:57:22.049211","5.74","51974.31","18.16","596","37","2","5","5","5.48","0","W","Ashotsk"
"159","159","2024-06-22 10:12:22.055165","4.76","51974.31","17.53","596","37","2","3","4","6.02","0","W","Ashotsk"
"160","160","2024-06-22 10:27:22.147337","6.45","51974.31","19.17","596","32","1","3","3","5.31","0","NE","Ashotsk"
"161","161","2024-06-22 10:42:22.244118","5.69","51974.31","18.12","596","37","2","4","5","5.91","0","N","Ashotsk"
"162","162","2024-06-22 10:57:22.342219","5.91","51974.31","18.62","596","34","0","2","2","5.32","0","N","Ashotsk"
"163","163","2024-06-22 11:12:22.436913","5.04","51974.31","20.1","596","34","0","3","3","5.36","0","N","Ashotsk"
"164","164","2024-06-22 11:27:22.534493","4.81","51974.31","19","596","34","0","3","4","5.83","0","W","Ashotsk"
"165","165","2024-06-22 11:42:22.615110","4.99","51974.31","19.95","596","31","0","2","3","6.19","0","NE","Ashotsk"
"166","166","2024-06-22 11:57:22.705124","4.88","51974.31","19.49","596","31","0","2","3","5.78","0","W","Ashotsk"
"167","167","2024-06-22 12:12:22.762512","4.5","51974.31","21.26","596","28","0","1","1","4.34","0","W","Ashotsk"
"168","168","2024-06-22 12:27:22.855119","4.73","51974.31","20.31","596","25","1","1","1","5.57","0","SW","Ashotsk"
"169","169","2024-06-22 12:42:22.859962","4.49","51974.31","19.64","596","26","0","1","1","5.65","0","NW","Ashotsk"
"170","170","2024-06-22 12:57:22.955135","4.28","51974.31","20.06","595","25","0","0","1","6.06","0","W","Ashotsk"
"171","171","2024-06-22 13:12:23.052662","4.3","51974.31","20.61","595","26","0","1","1","5.31","0","N","Ashotsk"
"172","172","2024-06-22 13:27:23.055141","4.71","51974.31","21.07","595","27","0","0","1","5.19","0","NE","Ashotsk"
"173","173","2024-06-22 13:50:49.726921","4.73","51974.31","21.1","595","26","0","0","0","4.76","0","W","Ashotsk"
"174","174","2024-06-22 14:05:49.822186","4.68","51974.31","22.51","595","23","0","0","0","5.08","0","SE","Ashotsk"
"175","175","2024-06-22 14:20:49.918228","4.74","51974.31","20.08","595","24","0","0","0","4.72","0","SW","Ashotsk"
"176","176","2024-06-22 14:35:50.010766","4.63","51974.31","22.3","595","23","0","0","1","4.41","0","NE","Ashotsk"
"177","177","2024-06-22 14:50:50.106148","4.74","51974.31","22.19","595","23","0","1","1","4.93","0","NW","Ashotsk"
"178","178","2024-06-22 15:05:50.145585","3.71","47045.74","22.71","595","24","0","0","1","4.94","0","W","Ashotsk"
"179","179","2024-06-22 15:20:50.218811","5.38","51974.31","21.93","595","22","0","0","0","5.88","0","NE","Ashotsk"
"180","180","2024-06-22 15:35:50.311492","5.09","51974.31","22.32","595","23","0","0","0","4.78","0","W","Ashotsk"
"181","181","2024-06-22 15:50:50.315448","5.21","51974.31","22.08","595","26","0","0","2","4.8","0","N","Ashotsk"
